title,price_in_lei,converted_price_in_euro,updated_price_in_euro,difference,difference_percentage
По лабиринтам саморазвития.,250,12.5,18.99,6.49,51.92
Всё закончится а ты нет. Книга силы утешения и поддержки,190,9.5,14.99,5.49,57.79
Миссия выполнима. Технология счастливой жизни,250,12.5,18.99,6.49,51.92
Подсознание может всё!,180,9.0,13.99,4.99,55.44
Мара и Морок. 500 лет назад,158,7.9,12.99,5.09,64.43
НИ ЗЯ. Откажись от пагубных слабостей обрети силу духа и стань хозяином своей судьбы,150,7.5,11.99,4.49,59.87
Big Money: принципы первых. Откровенно о бизнесе и жизни успешных предпринимателей,289,14.45,20.99,6.54,45.26
Люблю и понимаю. Как растить детей счастливыми,201,10.05,15.99,5.94,59.1
Безмолвный пациент,125,6.25,10.99,4.74,75.84
С тобой я дома. Книга о том как любить друг друга оставаясь верными себе,200,10.0,14.99,4.99,49.9
Идиот,86,4.3,7.99,3.69,85.81
Стигмалион,151,7.55,11.99,4.44,58.81
Крылья,160,8.0,12.99,4.99,62.38
1984. Скотный двор,178,8.9,13.99,5.09,57.19
Это началось не с тебя. Как мы наследуем негативные сценарии,170,8.5,13.99,5.49,64.59
Стань моим завтра,180,9.0,13.99,4.99,55.44
Бесы,86,4.3,7.99,3.69,85.81
Шестерка воронов,225,11.25,16.99,5.74,51.02
Тень и кость,175,8.75,13.99,5.24,59.89
Повелитель мух,120,6.0,9.99,3.99,66.5
Глазами жертвы,152,7.6,11.99,4.39,57.76
Naruto. Наруто. Книга 1. Наруто Удзумаки,300,15.0,21.99,6.99,46.6
Зеленый свет,250,12.5,18.99,6.49,51.92
1984. Скотный Двор. Романы повесть,212,10.6,15.99,5.39,50.85
1984. Иллюстрированное издание,380,19.0,26.99,7.99,42.05
Аспид,172,8.6,13.99,5.39,62.67
Преступление и наказание,65,3.25,6.99,3.74,115.08
ЛЮБИ СЕБЯ. Словно от этого зависит твоя жизнь,230,11.5,16.99,5.49,47.74
Трансерфинг реальности ступени 1-5.(тв),820,41.0,55.99,14.99,36.56
Свадебная магия (выпуск 12),170,8.5,13.99,5.49,64.59
Дюна,195,9.75,14.99,5.24,53.74
Женщина у которой есть план. Правила счастливой жизни,205,10.25,15.99,5.74,56.0
