title,price_in_lei,converted_price_in_euro,updated_price_in_euro,adjusted_price_in_euro,difference,difference_percentage
По лабиринтам саморазвития.,250,12.5,18.99,16.99,4.49,35.92
Всё закончится а ты нет. Книга силы утешения и поддержки,190,9.5,14.99,12.99,3.49,36.74
Миссия выполнима. Технология счастливой жизни,250,12.5,18.99,16.99,4.49,35.92
Подсознание может всё!,180,9.0,13.99,11.99,2.99,33.22
Мара и Морок. 500 лет назад,158,7.9,12.99,10.99,3.09,39.11
НИ ЗЯ. Откажись от пагубных слабостей обрети силу духа и стань хозяином своей судьбы,150,7.5,11.99,9.99,2.49,33.2
Big Money: принципы первых. Откровенно о бизнесе и жизни успешных предпринимателей,289,14.45,20.99,18.99,4.54,31.42
Люблю и понимаю. Как растить детей счастливыми,201,10.05,15.99,13.99,3.94,39.2
Безмолвный пациент,125,6.25,10.99,8.99,2.74,43.84
С тобой я дома. Книга о том как любить друг друга оставаясь верными себе,200,10.0,14.99,12.99,2.99,29.9
Идиот,86,4.3,7.99,5.99,1.69,39.3
Стигмалион,151,7.55,11.99,9.99,2.44,32.32
Крылья,160,8.0,12.99,10.99,2.99,37.38
1984. Скотный двор,178,8.9,13.99,11.99,3.09,34.72
Это началось не с тебя. Как мы наследуем негативные сценарии,170,8.5,13.99,11.99,3.49,41.06
Стань моим завтра,180,9.0,13.99,11.99,2.99,33.22
Бесы,86,4.3,7.99,5.99,1.69,39.3
Шестерка воронов,225,11.25,16.99,14.989999999999998,3.74,33.24
Тень и кость,175,8.75,13.99,11.99,3.24,37.03
Повелитель мух,120,6.0,9.99,7.99,1.99,33.17
Глазами жертвы,152,7.6,11.99,9.99,2.39,31.45
Naruto. Наруто. Книга 1. Наруто Удзумаки,300,15.0,21.99,19.99,4.99,33.27
Зеленый свет,250,12.5,18.99,16.99,4.49,35.92
1984. Скотный Двор. Романы повесть,212,10.6,15.99,13.99,3.39,31.98
1984. Иллюстрированное издание,380,19.0,26.99,24.99,5.99,31.53
Аспид,172,8.6,13.99,11.99,3.39,39.42
Преступление и наказание,65,3.25,6.99,4.99,1.74,53.54
ЛЮБИ СЕБЯ. Словно от этого зависит твоя жизнь,230,11.5,16.99,14.989999999999998,3.49,30.35
Трансерфинг реальности ступени 1-5.(тв),820,41.0,55.99,53.99,12.99,31.68
Свадебная магия (выпуск 12),170,8.5,13.99,11.99,3.49,41.06
Дюна,195,9.75,14.99,12.99,3.24,33.23
Женщина у которой есть план. Правила счастливой жизни,205,10.25,15.99,13.99,3.74,36.49
